54.63,0,0,0,0,0
99.15,54.63,0,0,0,0
95,99.15,54.63,0,0,0
74.38,95,99.15,54.63,0,0
82.2,74.38,95,99.15,54.63,0
107.23,82.2,74.38,95,99.15,54.63
71.95,107.23,82.2,74.38,95,99.15
80.8,71.95,107.23,82.2,74.38,95
98.17,80.8,71.95,107.23,82.2,74.38
95.52,98.17,80.8,71.95,107.23,82.2
120.51,95.52,98.17,80.8,71.95,107.23
151.08,120.51,95.52,98.17,80.8,71.95
157.2,151.08,120.51,95.52,98.17,80.8
200.7,157.2,151.08,120.51,95.52,98.17
300,200.7,157.2,151.08,120.51,95.52
248.48,300,200.7,157.2,151.08,120.51
164.58,248.48,300,200.7,157.2,151.08
77.9,164.58,248.48,300,200.7,157.2
59.93,77.9,164.58,248.48,300,200.7
99.9,59.93,77.9,164.58,248.48,300
104.04,99.9,59.93,77.9,164.58,248.48
144.13,104.04,99.9,59.93,77.9,164.58
179.9,144.13,104.04,99.9,59.93,77.9
120.85,179.9,144.13,104.04,99.9,59.93
154.76,120.85,179.9,144.13,104.04,99.9
150.24,154.76,120.85,179.9,144.13,104.04
131.13,150.24,154.76,120.85,179.9,144.13
110.96,131.13,150.24,154.76,120.85,179.9
119.4,110.96,131.13,150.24,154.76,120.85
135.89,119.4,110.96,131.13,150.24,154.76
152.32,135.89,119.4,110.96,131.13,150.24
192.91,152.32,135.89,119.4,110.96,131.13
177.2,192.91,152.32,135.89,119.4,110.96
181.16,177.2,192.91,152.32,135.89,119.4
177.3,181.16,177.2,192.91,152.32,135.89
200.13,177.3,181.16,177.2,192.91,152.32
235.41,200.13,177.3,181.16,177.2,192.91
269.23,235.41,200.13,177.3,181.16,177.2
291.9,269.23,235.41,200.13,177.3,181.16
280.9,291.9,269.23,235.41,200.13,177.3
404.39,280.9,291.9,269.23,235.41,200.13
488.4,404.39,280.9,291.9,269.23,235.41
499.47,488.4,404.39,280.9,291.9,269.23
435.69,499.47,488.4,404.39,280.9,291.9
583.65,435.69,499.47,488.4,404.39,280.9
679.36,583.65,435.69,499.47,488.4,404.39
615.89,679.36,583.65,435.69,499.47,488.4
731.14,615.89,679.36,583.65,435.69,499.47
652.1,731.14,615.89,679.36,583.65,435.69
762.95,652.1,731.14,615.89,679.36,583.65
874.13,762.95,652.1,731.14,615.89,679.36
969.26,874.13,762.95,652.1,731.14,615.89
785.69,969.26,874.13,762.95,652.1,731.14
905.11,785.69,969.26,874.13,762.95,652.1
943.75,905.11,785.69,969.26,874.13,762.95
800.36,943.75,905.11,785.69,969.26,874.13
838.92,800.36,943.75,905.11,785.69,969.26
890.2,838.92,800.36,943.75,905.11,785.69
1020.02,890.2,838.92,800.36,943.75,905.11
850.86,1020.02,890.2,838.92,800.36,943.75
616.24,850.86,1020.02,890.2,838.92,800.36
852.41,616.24,850.86,1020.02,890.2,838.92
1004.65,852.41,616.24,850.86,1020.02,890.2
831.17,1004.65,852.41,616.24,850.86,1020.02
805.01,831.17,1004.65,852.41,616.24,850.86
838.74,805.01,831.17,1004.65,852.41,616.24
963.99,838.74,805.01,831.17,1004.65,852.41
875,963.99,838.74,805.01,831.17,1004.65
1046.54,875,963.99,838.74,805.01,831.17
1258.64,1046.54,875,963.99,838.74,805.01
1211.57,1258.64,1046.54,875,963.99,838.74
1546.67,1211.57,1258.64,1046.54,875,963.99
1895.95,1546.67,1211.57,1258.64,1046.54,875
1938.83,1895.95,1546.67,1211.57,1258.64,1046.54
2168.57,1938.83,1895.95,1546.67,1211.57,1258.64
2753.2,2168.57,1938.83,1895.95,1546.67,1211.57
2633.66,2753.2,2168.57,1938.83,1895.95,1546.67
3168.83,2633.66,2753.2,2168.57,1938.83,1895.95
3301.11,3168.83,2633.66,2753.2,2168.57,1938.83
3754.09,3301.11,3168.83,2633.66,2753.2,2168.57
3834.44,3754.09,3301.11,3168.83,2633.66,2753.2
5117.12,3834.44,3754.09,3301.11,3168.83,2633.66
6448.27,5117.12,3834.44,3754.09,3301.11,3168.83
7908.3,6448.27,5117.12,3834.44,3754.09,3301.11
9181.43,7908.3,6448.27,5117.12,3834.44,3754.09
11497.12,9181.43,7908.3,6448.27,5117.12,3834.44
10787.99,11497.12,9181.43,7908.3,6448.27,5117.12
10021.57,10787.99,11497.12,9181.43,7908.3,6448.27
8341.63,10021.57,10787.99,11497.12,9181.43,7908.3
10453.92,8341.63,10021.57,10787.99,11497.12,9181.43
10783.01,10453.92,8341.63,10021.57,10787.99,11497.12
10717.5,10783.01,10453.92,8341.63,10021.57,10787.99
12463.15,10717.5,10783.01,10453.92,8341.63,10021.57
13264.82,12463.15,10717.5,10783.01,10453.92,8341.63
8776.39,13264.82,12463.15,10717.5,10783.01,10453.92
10428.05,8776.39,13264.82,12463.15,10717.5,10783.01
11577.51,10428.05,8776.39,13264.82,12463.15,10717.5
12217.56,11577.51,10428.05,8776.39,13264.82,12463.15
13104.14,12217.56,11577.51,10428.05,8776.39,13264.82
16576.66,13104.14,12217.56,11577.51,10428.05,8776.39
17823.07,16576.66,13104.14,12217.56,11577.51,10428.05
17425.03,17823.07,16576.66,13104.14,12217.56,11577.51
19762.6,17425.03,17823.07,16576.66,13104.14,12217.56
24719.22,19762.6,17425.03,17823.07,16576.66,13104.14